ue_id,imsi,class,nominal_rate_bps,actual_rate_bps,rate_sigma,nominal_packet_size,actual_packet_size,start_offset_s,noise_model
40,41,mMTC,3000,3028.93,0.25,100,76,24.602,lognormal_rate_jitter_v1
41,42,mMTC,3000,2731.11,0.25,100,221,10.2534,lognormal_rate_jitter_v1
42,43,mMTC,3000,2379.48,0.25,100,164,25.4484,lognormal_rate_jitter_v1
43,44,mMTC,3000,3609.6,0.25,100,87,19.9021,lognormal_rate_jitter_v1
44,45,mMTC,3000,2315.79,0.25,100,188,17.437,lognormal_rate_jitter_v1
45,46,mMTC,3000,2942,0.25,100,167,10.4349,lognormal_rate_jitter_v1
46,47,mMTC,3000,3962.77,0.25,100,116,6.94396,lognormal_rate_jitter_v1
47,48,mMTC,3000,5243.34,0.25,100,232,25.5211,lognormal_rate_jitter_v1
48,49,mMTC,3000,3528.48,0.25,100,181,20.127,lognormal_rate_jitter_v1
49,50,mMTC,3000,2806.19,0.25,100,145,2.89464,lognormal_rate_jitter_v1
50,51,mMTC,3000,3465.62,0.25,100,246,5.76459,lognormal_rate_jitter_v1
51,52,mMTC,3000,3090.57,0.25,100,108,4.01947,lognormal_rate_jitter_v1
52,53,mMTC,3000,3599.24,0.25,100,217,23.3755,lognormal_rate_jitter_v1
53,54,mMTC,3000,4785.81,0.25,100,222,0.749239,lognormal_rate_jitter_v1
54,55,mMTC,3000,4384.98,0.25,100,105,5.94344,lognormal_rate_jitter_v1
55,56,mMTC,3000,2909.52,0.25,100,130,10.2122,lognormal_rate_jitter_v1
56,57,mMTC,3000,2572.12,0.25,100,123,14.694,lognormal_rate_jitter_v1
57,58,mMTC,3000,2340.8,0.25,100,134,24.6931,lognormal_rate_jitter_v1
58,59,mMTC,3000,1997.76,0.25,100,112,22.0846,lognormal_rate_jitter_v1
59,60,mMTC,3000,2163.12,0.25,100,251,15.6916,lognormal_rate_jitter_v1
60,61,mMTC,3000,2064.68,0.25,100,185,5.86852,lognormal_rate_jitter_v1
61,62,mMTC,3000,4291.85,0.25,100,229,16.5294,lognormal_rate_jitter_v1
62,63,mMTC,3000,3240.49,0.25,100,71,29.3961,lognormal_rate_jitter_v1
63,64,mMTC,3000,2391.25,0.25,100,65,16.3261,lognormal_rate_jitter_v1
64,65,mMTC,3000,3939.74,0.25,100,228,16.2357,lognormal_rate_jitter_v1
65,66,mMTC,3000,2539.88,0.25,100,92,15.2352,lognormal_rate_jitter_v1
66,67,mMTC,3000,1833.66,0.25,100,182,29.9218,lognormal_rate_jitter_v1
67,68,mMTC,3000,3649.14,0.25,100,153,12.5885,lognormal_rate_jitter_v1
68,69,mMTC,3000,2277.73,0.25,100,207,23.5232,lognormal_rate_jitter_v1
69,70,mMTC,3000,2444.63,0.25,100,196,6.82183,lognormal_rate_jitter_v1
70,71,mMTC,3000,1527.74,0.25,100,190,2.27355,lognormal_rate_jitter_v1
71,72,mMTC,3000,3526.3,0.25,100,211,7.01512,lognormal_rate_jitter_v1
72,73,mMTC,3000,2637.87,0.25,100,120,19.1828,lognormal_rate_jitter_v1
73,74,mMTC,3000,1964.18,0.25,100,137,8.10548,lognormal_rate_jitter_v1
74,75,mMTC,3000,2978.05,0.25,100,175,13.5406,lognormal_rate_jitter_v1
75,76,mMTC,3000,2532.4,0.25,100,123,24.0226,lognormal_rate_jitter_v1
76,77,mMTC,3000,2461.08,0.25,100,240,28.7747,lognormal_rate_jitter_v1
77,78,mMTC,3000,4259.75,0.25,100,225,8.25253,lognormal_rate_jitter_v1
78,79,mMTC,3000,1470.03,0.25,100,248,12.6731,lognormal_rate_jitter_v1
79,80,mMTC,3000,2489.86,0.25,100,190,3.54471,lognormal_rate_jitter_v1
80,81,Web,133000,281688,0.4,600,1202,14.9597,lognormal_rate_jitter_v1
81,82,Web,133000,92595.1,0.4,600,926,2.57513,lognormal_rate_jitter_v1
82,83,Web,133000,94403.5,0.4,600,820,9.75479,lognormal_rate_jitter_v1
83,84,Web,133000,130089,0.4,600,912,6.7945,lognormal_rate_jitter_v1
84,85,Web,133000,123608,0.4,600,1471,6.8909,lognormal_rate_jitter_v1
85,86,Web,133000,151707,0.4,600,1225,1.44077,lognormal_rate_jitter_v1
86,87,Web,133000,250377,0.4,600,1029,1.01842,lognormal_rate_jitter_v1
87,88,Web,133000,94025.8,0.4,600,1151,8.59537,lognormal_rate_jitter_v1
88,89,Web,133000,123630,0.4,600,1133,5.10486,lognormal_rate_jitter_v1
89,90,Web,133000,181812,0.4,600,1167,4.33021,lognormal_rate_jitter_v1
90,91,Web,133000,105635,0.4,600,1397,5.14194,lognormal_rate_jitter_v1
91,92,Web,133000,86965.3,0.4,600,1136,14.4686,lognormal_rate_jitter_v1
92,93,Web,133000,212668,0.4,600,887,10.7812,lognormal_rate_jitter_v1
93,94,Web,133000,125357,0.4,600,1078,11.7393,lognormal_rate_jitter_v1
94,95,Web,133000,104926,0.4,600,982,3.22054,lognormal_rate_jitter_v1
95,96,Web,133000,138386,0.4,600,930,13.5458,lognormal_rate_jitter_v1
96,97,Web,133000,245672,0.4,600,631,10.5386,lognormal_rate_jitter_v1
97,98,Web,133000,74933.9,0.4,600,1265,0.582828,lognormal_rate_jitter_v1
98,99,Web,133000,171154,0.4,600,721,13.6982,lognormal_rate_jitter_v1
99,100,Web,133000,86089.6,0.4,600,1473,2.58891,lognormal_rate_jitter_v1
100,101,Web,133000,141206,0.4,600,944,6.93166,lognormal_rate_jitter_v1
101,102,Web,133000,124914,0.4,600,773,4.8377,lognormal_rate_jitter_v1
102,103,Web,133000,172893,0.4,600,1492,14.5638,lognormal_rate_jitter_v1
103,104,Web,133000,154602,0.4,600,1043,5.70908,lognormal_rate_jitter_v1
104,105,Web,133000,86538.1,0.4,600,740,5.09125,lognormal_rate_jitter_v1
105,106,Web,133000,173564,0.4,600,687,3.41925,lognormal_rate_jitter_v1
106,107,Web,133000,94761.5,0.4,600,658,0.255099,lognormal_rate_jitter_v1
107,108,Web,133000,114851,0.4,600,1231,2.47999,lognormal_rate_jitter_v1
108,109,Web,133000,117060,0.4,600,565,9.0763,lognormal_rate_jitter_v1
109,110,Web,133000,240862,0.4,600,846,8.62907,lognormal_rate_jitter_v1
110,111,Mobile,166000,168285,0.35,800,1154,5.48411,lognormal_rate_jitter_v1
111,112,Mobile,166000,280359,0.35,800,782,4.95118,lognormal_rate_jitter_v1
112,113,Mobile,166000,99372.2,0.35,800,931,3.52633,lognormal_rate_jitter_v1
113,114,Mobile,166000,243575,0.35,800,1127,8.8591,lognormal_rate_jitter_v1
114,115,Mobile,166000,207253,0.35,800,542,3.7215,lognormal_rate_jitter_v1
115,116,Mobile,166000,141957,0.35,800,958,11.5472,lognormal_rate_jitter_v1
116,117,Mobile,166000,234082,0.35,800,1342,0.254222,lognormal_rate_jitter_v1
117,118,Mobile,166000,152182,0.35,800,699,0.361271,lognormal_rate_jitter_v1
118,119,Mobile,166000,166914,0.35,800,1109,8.06499,lognormal_rate_jitter_v1
119,120,Mobile,166000,121312,0.35,800,603,11.256,lognormal_rate_jitter_v1
120,121,Mobile,166000,157285,0.35,800,1083,11.9455,lognormal_rate_jitter_v1
121,122,Mobile,166000,129420,0.35,800,888,4.62189,lognormal_rate_jitter_v1
122,123,Mobile,166000,185925,0.35,800,817,7.24127,lognormal_rate_jitter_v1
123,124,Mobile,166000,184865,0.35,800,1191,11.4131,lognormal_rate_jitter_v1
124,125,Mobile,166000,453079,0.35,800,719,0.893802,lognormal_rate_jitter_v1
125,126,Mobile,166000,144796,0.35,800,1262,10.803,lognormal_rate_jitter_v1
126,127,Mobile,166000,146999,0.35,800,981,7.7181,lognormal_rate_jitter_v1
127,128,Mobile,166000,315817,0.35,800,1073,6.9385,lognormal_rate_jitter_v1
128,129,Mobile,166000,292776,0.35,800,1345,9.40528,lognormal_rate_jitter_v1
129,130,Mobile,166000,172095,0.35,800,1019,9.41378,lognormal_rate_jitter_v1
130,131,Mobile,166000,133305,0.35,800,1066,7.92553,lognormal_rate_jitter_v1
131,132,Mobile,166000,141610,0.35,800,817,2.72211,lognormal_rate_jitter_v1
132,133,Mobile,166000,154440,0.35,800,755,5.75628,lognormal_rate_jitter_v1
133,134,Mobile,166000,197426,0.35,800,1061,10.2211,lognormal_rate_jitter_v1
134,135,Mobile,166000,304823,0.35,800,1164,8.13775,lognormal_rate_jitter_v1
135,136,Mobile,166000,249987,0.35,800,1214,14.1068,lognormal_rate_jitter_v1
136,137,Mobile,166000,121618,0.35,800,840,4.70606,lognormal_rate_jitter_v1
137,138,Mobile,166000,129521,0.35,800,733,10.4295,lognormal_rate_jitter_v1
138,139,Mobile,166000,157926,0.35,800,1366,14.9744,lognormal_rate_jitter_v1
139,140,Mobile,166000,178334,0.35,800,610,5.60685,lognormal_rate_jitter_v1
140,141,VoD,725000,823101,0.05,1200,1200,0.404014,lognormal_rate_jitter_v1
141,142,VoD,725000,724561,0.05,1200,1200,5.41541,lognormal_rate_jitter_v1
142,143,VoD,725000,692494,0.05,1200,1200,0.182635,lognormal_rate_jitter_v1
143,144,VoD,725000,728805,0.05,1200,1200,7.62563,lognormal_rate_jitter_v1
144,145,VoD,725000,687194,0.05,1200,1200,5.04134,lognormal_rate_jitter_v1
145,146,VoD,725000,709215,0.05,1200,1200,7.63049,lognormal_rate_jitter_v1
146,147,VoD,725000,631063,0.05,1200,1200,6.08374,lognormal_rate_jitter_v1
147,148,VoD,725000,717011,0.05,1200,1200,3.34971,lognormal_rate_jitter_v1
148,149,VoD,725000,678301,0.05,1200,1200,2.58484,lognormal_rate_jitter_v1
149,150,VoD,725000,741853,0.05,1200,1200,4.55663,lognormal_rate_jitter_v1
150,151,VoD,725000,695123,0.05,1200,1200,8.22413,lognormal_rate_jitter_v1
151,152,VoD,725000,745885,0.05,1200,1200,0.343779,lognormal_rate_jitter_v1
152,153,VoD,725000,786587,0.05,1200,1200,6.95359,lognormal_rate_jitter_v1
153,154,VoD,725000,743489,0.05,1200,1200,7.21924,lognormal_rate_jitter_v1
154,155,VoD,725000,668083,0.05,1200,1200,5.5668,lognormal_rate_jitter_v1
155,156,VoD,725000,741452,0.05,1200,1200,5.46209,lognormal_rate_jitter_v1
156,157,VoD,725000,778143,0.05,1200,1200,9.9972,lognormal_rate_jitter_v1
157,158,VoD,725000,732288,0.05,1200,1200,4.7639,lognormal_rate_jitter_v1
158,159,VoD,725000,712237,0.05,1200,1200,1.93493,lognormal_rate_jitter_v1
159,160,VoD,725000,770054,0.05,1200,1200,6.66973,lognormal_rate_jitter_v1
160,161,VoD,725000,650771,0.05,1200,1200,2.14725,lognormal_rate_jitter_v1
161,162,VoD,725000,701346,0.05,1200,1200,5.23259,lognormal_rate_jitter_v1
162,163,VoD,725000,754804,0.05,1200,1200,4.19571,lognormal_rate_jitter_v1
163,164,VoD,725000,640685,0.05,1200,1200,9.15357,lognormal_rate_jitter_v1
164,165,Live,478000,410963,0.1,1200,1200,0.62181,lognormal_rate_jitter_v1
165,166,Live,478000,513806,0.1,1200,1200,5.9506,lognormal_rate_jitter_v1
166,167,Live,478000,465053,0.1,1200,1200,3.95269,lognormal_rate_jitter_v1
167,168,Live,478000,464346,0.1,1200,1200,9.96244,lognormal_rate_jitter_v1
168,169,Live,478000,551032,0.1,1200,1200,7.05888,lognormal_rate_jitter_v1
169,170,Live,478000,418555,0.1,1200,1200,4.87028,lognormal_rate_jitter_v1
170,171,Live,478000,549210,0.1,1200,1200,4.24451,lognormal_rate_jitter_v1
171,172,Live,478000,489709,0.1,1200,1200,2.44248,lognormal_rate_jitter_v1
172,173,Live,478000,478753,0.1,1200,1200,2.94892,lognormal_rate_jitter_v1
173,174,Live,478000,588138,0.1,1200,1200,1.60326,lognormal_rate_jitter_v1
174,175,Live,478000,507522,0.1,1200,1200,7.50387,lognormal_rate_jitter_v1
175,176,Live,478000,527171,0.1,1200,1200,9.93212,lognormal_rate_jitter_v1
176,177,Live,478000,497319,0.1,1200,1200,1.16833,lognormal_rate_jitter_v1
177,178,Live,478000,460310,0.1,1200,1200,5.1066,lognormal_rate_jitter_v1
178,179,Live,478000,512021,0.1,1200,1200,0.461532,lognormal_rate_jitter_v1
179,180,Live,478000,435425,0.1,1200,1200,5.43058,lognormal_rate_jitter_v1
180,181,Live,478000,502391,0.1,1200,1200,0.825374,lognormal_rate_jitter_v1
181,182,Live,478000,478125,0.1,1200,1200,8.97361,lognormal_rate_jitter_v1
182,183,Live,478000,481399,0.1,1200,1200,7.75961,lognormal_rate_jitter_v1
183,184,Live,478000,435049,0.1,1200,1200,5.70756,lognormal_rate_jitter_v1
184,185,Live,478000,523039,0.1,1200,1200,6.0179,lognormal_rate_jitter_v1
185,186,Live,478000,546348,0.1,1200,1200,9.0953,lognormal_rate_jitter_v1
186,187,Live,478000,454403,0.1,1200,1200,1.5734,lognormal_rate_jitter_v1
187,188,Live,478000,478048,0.1,1200,1200,8.15039,lognormal_rate_jitter_v1
188,189,Live,478000,431520,0.1,1200,1200,1.68948,lognormal_rate_jitter_v1
189,190,Live,478000,564178,0.1,1200,1200,7.23402,lognormal_rate_jitter_v1
190,191,V2X,99000,89745.5,0.08,300,413,1.35877,lognormal_rate_jitter_v1
191,192,V2X,99000,113117,0.08,300,395,2.18265,lognormal_rate_jitter_v1
192,193,V2X,99000,111122,0.08,300,324,2.48168,lognormal_rate_jitter_v1
193,194,V2X,99000,105581,0.08,300,553,3.24764,lognormal_rate_jitter_v1
194,195,V2X,99000,101580,0.08,300,452,2.06491,lognormal_rate_jitter_v1
195,196,V2X,99000,85963.7,0.08,300,549,4.90287,lognormal_rate_jitter_v1
196,197,V2X,99000,103457,0.08,300,336,2.21887,lognormal_rate_jitter_v1
197,198,V2X,99000,103341,0.08,300,366,1.39947,lognormal_rate_jitter_v1
198,199,V2X,99000,88372,0.08,300,499,3.95782,lognormal_rate_jitter_v1
199,200,V2X,99000,116271,0.08,300,335,3.21472,lognormal_rate_jitter_v1
